pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,44,1,29,1,-1,10,2,40,10
2,39,2,53,1,-1,10,5,42,17
1,40,2,67,1,-1,8,1,34,1
2,39,2,34,4,7,6,10,23,22
2,40,2,45,4,35,5,4,22,16
1,39,2,27,1,-1,11,3,46,13
2,44,1,42,1,-1,11,2,44,9
2,43,4,27,1,-1,9,2,36,9
1,46,1,51,1,-1,13,2,51,5
2,44,4,45,1,-1,8,1,32,2
2,43,1,26,1,-1,13,2,51,5
2,43,1,24,1,-1,13,2,51,7
2,44,1,28,1,-1,13,2,51,5
2,44,1,26,1,-1,9,1,36,2
2,43,2,32,2,-1,9,1,36,2
2,39,2,61,1,-1,10,2,41,5
2,39,2,46,2,-1,6,10,23,22
2,40,2,30,1,-1,5,4,22,16
2,43,1,74,1,-1,9,2,36,3
2,46,1,43,1,-1,13,2,51,5
1,45,1,46,1,-1,9,1,36,1
1,43,1,30,1,-1,13,1,51,2
1,44,4,29,1,-1,10,2,42,10
1,43,2,40,1,-1,6,10,23,22
1,39,2,50,1,-1,11,10,45,22
2,34,2,44,1,-1,11,3,44,14
2,46,1,56,4,52,9,1,36,2
2,39,1,40,1,-1,9,3,38,14
2,32,1,68,1,-1,9,3,38,14
2,39,2,61,1,-1,10,3,42,11
1,43,1,45,1,-1,9,2,36,3
1,41,1,38,1,-1,12,2,48,5
2,44,1,70,1,-1,10,3,43,15
2,41,1,80,1,-1,9,3,38,14
1,39,1,80,1,-1,3,7,4,19
1,39,1,41,1,-1,3,7,4,19
2,43,1,64,2,-1,10,2,42,10
1,39,2,40,1,-1,9,3,38,14
1,39,2,18,1,-1,11,3,46,13
2,42,4,30,1,-1,12,3,48,15
1,39,4,31,2,-1,3,8,4,20
2,39,1,71,1,-1,5,10,21,22
1,40,1,71,1,-1,9,2,36,4
2,44,1,57,1,-1,10,2,40,8
2,43,1,46,1,-1,7,2,29,4
1,39,1,43,1,-1,5,2,22,4
2,43,2,32,1,-1,9,5,36,17
1,39,1,31,1,-1,10,9,40,21
1,43,4,54,1,-1,5,3,21,13
2,43,4,56,1,-1,5,3,21,13
2,43,2,38,1,-1,10,2,40,8
1,41,1,40,1,-1,13,3,51,12
2,43,1,37,1,-1,10,2,40,8
1,39,1,33,2,-1,3,7,4,19
2,40,2,47,1,-1,9,2,36,7
1,44,2,51,1,-1,3,2,4,3
1,44,1,60,1,-1,10,2,40,8
2,43,1,52,1,-1,10,2,40,8
1,43,1,24,1,-1,11,3,46,13
1,42,1,30,1,-1,8,1,35,1
2,44,1,30,1,-1,9,1,36,2
2,43,1,35,1,-1,9,5,38,17
2,46,1,60,1,-1,10,2,42,10
1,43,1,41,1,-1,4,1,13,1
1,39,1,67,1,-1,3,7,4,19
1,39,1,40,1,-1,8,3,34,14
2,39,1,37,1,-1,11,1,46,1
1,42,1,59,1,-1,10,2,41,10
1,39,1,62,1,-1,6,5,24,17
2,44,1,59,1,-1,10,2,41,3
1,44,1,59,1,-1,10,1,41,1
2,42,2,38,1,-1,10,3,42,11
1,42,2,41,1,-1,13,3,51,12
1,39,1,67,1,-1,11,3,46,13
1,44,4,50,1,-1,8,1,32,1
2,43,4,45,1,-1,9,1,36,1
2,40,2,41,1,-1,8,1,34,1
1,37,2,17,1,-1,11,4,46,16
1,42,2,43,1,-1,6,10,23,22
2,43,2,46,1,-1,10,2,40,8
1,43,1,42,1,-1,10,2,41,10
2,44,1,80,1,-1,9,1,36,2
1,40,1,56,1,-1,9,2,36,4
2,42,1,56,1,-1,10,2,41,10
1,39,2,31,1,-1,5,3,22,13
1,40,1,74,1,-1,11,3,44,14
2,44,1,46,1,-1,11,5,45,17
1,43,1,45,1,-1,10,2,40,9
1,43,1,50,1,-1,10,2,41,10
2,42,1,46,1,-1,10,5,42,17
1,40,1,19,1,-1,11,3,46,13
2,42,2,39,1,-1,9,1,38,2
2,41,2,32,1,-1,10,3,42,11
1,39,1,63,1,-1,11,3,45,14
2,34,4,80,1,-1,12,3,48,15
1,39,1,41,1,-1,3,8,4,20
2,39,1,29,1,-1,11,3,44,15
2,43,1,63,1,-1,12,9,48,21
2,43,1,59,1,-1,10,2,42,10
1,44,1,57,1,-1,9,1,36,1
2,40,1,45,1,-1,5,10,22,22
1,39,1,52,1,-1,12,1,47,1
2,39,1,43,1,-1,8,1,32,2
