peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
39,1,45,1,-1,3,7,4,19
39,1,40,1,-1,3,7,4,19
39,1,40,1,-1,4,10,7,22
34,1,45,4,2,11,3,46,13
39,1,37,1,-1,4,9,10,21
42,2,67,1,-1,5,2,22,10
43,1,74,1,-1,12,2,49,6
44,1,73,1,-1,12,2,49,6
39,1,55,1,-1,5,8,21,20
39,1,41,1,-1,5,6,21,18
39,1,19,1,-1,11,3,46,13
39,1,35,1,-1,10,1,40,1
40,1,32,1,-1,6,10,23,22
44,4,43,1,-1,8,1,32,2
44,4,50,1,-1,8,1,32,1
39,2,38,1,-1,10,3,41,13
40,1,51,6,-1,5,4,22,16
43,1,25,1,-1,4,2,14,3
43,1,25,1,-1,5,4,21,16
34,1,48,1,-1,3,9,4,21
34,1,27,1,-1,3,9,4,21
34,1,46,1,-1,3,9,4,21
39,1,66,1,-1,9,3,38,14
45,1,48,1,-1,10,2,41,10
39,1,41,1,-1,9,8,38,20
35,1,38,1,-1,12,10,47,22
38,1,18,1,-1,11,4,46,16
39,1,61,1,-1,5,6,21,18
43,1,27,1,-1,12,2,47,4
43,1,24,1,-1,12,2,49,10
39,1,26,1,-1,5,10,22,22
39,1,23,1,-1,5,10,22,22
43,2,31,1,-1,8,1,32,2
41,2,33,1,-1,10,3,42,11
34,1,41,1,-1,3,7,4,19
40,1,53,1,-1,5,2,22,9
40,1,58,1,-1,9,2,38,9
45,1,42,1,-1,10,2,42,10
41,1,56,1,-1,10,3,42,14
42,2,43,1,-1,9,3,38,14
42,2,43,4,22,6,10,23,22
43,2,41,1,-1,9,5,36,17
45,1,65,1,-1,5,9,22,21
41,2,38,1,-1,8,4,33,16
41,2,36,1,-1,10,2,43,8
43,1,48,1,-1,11,8,44,20
42,1,45,1,-1,5,10,22,22
44,1,85,1,-1,12,2,49,9
43,2,52,1,-1,7,1,31,2
38,2,72,1,-1,11,3,45,13
42,1,60,1,-1,10,2,42,10
45,1,51,1,-1,6,10,23,22
43,1,77,1,-1,9,1,36,1
44,1,80,1,-1,3,1,4,1
39,1,63,1,-1,7,8,29,20
43,1,48,1,-1,9,2,36,9
40,1,49,1,-1,13,3,51,12
39,2,39,4,117,9,9,38,21
43,2,65,1,-1,9,1,36,2
44,2,43,1,-1,10,2,42,10
43,2,23,1,-1,11,1,44,2
39,2,55,7,-1,6,3,24,12
43,1,31,1,-1,5,2,22,9
43,1,30,1,-1,3,7,4,19
46,4,65,1,-1,10,2,40,8
44,4,58,1,-1,10,2,40,8
44,1,53,1,-1,3,7,4,19
36,1,35,1,-1,3,7,4,19
34,1,42,1,-1,12,3,48,15
43,1,50,1,-1,6,5,23,17
43,1,35,1,-1,5,4,22,16
43,1,26,1,-1,5,1,22,1
39,1,62,1,-1,4,8,10,20
39,1,56,1,-1,11,9,46,21
43,1,26,1,-1,9,2,36,4
43,1,54,1,-1,5,5,22,17
40,1,35,1,-1,4,7,12,19
43,1,47,1,-1,13,1,51,1
43,1,51,1,-1,9,1,36,1
39,1,63,1,-1,6,10,23,22
39,1,59,1,-1,9,2,36,7
39,1,39,1,-1,3,7,4,19
43,1,35,1,-1,10,2,40,8
