pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,43,2,40,1,-1,10,2,40,8
2,43,1,46,1,-1,9,2,36,3
2,41,2,51,1,-1,9,5,38,17
1,39,2,22,2,-1,9,3,38,12
2,46,2,43,1,-1,10,2,42,10
2,40,2,43,1,-1,10,2,43,6
2,44,1,34,1,-1,7,2,27,9
1,44,1,45,1,-1,7,2,27,9
2,44,2,29,1,-1,6,10,23,22
1,44,1,68,1,-1,13,2,51,9
2,43,1,68,1,-1,9,3,38,14
1,43,1,29,1,-1,13,2,51,4
2,43,1,29,1,-1,4,2,10,4
1,42,2,39,1,-1,6,10,23,22
2,44,1,36,1,-1,10,2,40,8
1,40,1,37,1,-1,3,7,4,19
2,44,1,52,1,-1,10,2,42,6
1,40,1,54,1,-1,12,3,49,14
2,44,1,24,1,-1,10,2,42,10
2,43,1,57,1,-1,10,2,42,10
1,39,1,62,2,-1,12,1,49,1
2,39,1,51,4,9,9,1,38,2
2,39,1,16,1,-1,11,3,46,13
1,37,1,23,1,-1,11,3,46,13
1,39,2,39,1,-1,8,1,33,1
2,39,1,54,1,-1,8,4,33,16
1,39,1,24,1,-1,11,3,46,13
2,40,1,55,1,-1,9,2,36,10
2,43,1,22,1,-1,10,3,42,11
1,39,1,57,1,-1,8,4,32,16
2,43,2,31,1,-1,11,1,44,2
1,40,2,29,1,-1,5,4,22,16
1,43,2,28,1,-1,9,2,36,3
1,40,2,26,1,-1,5,4,22,16
1,43,2,31,1,-1,9,5,36,17
1,42,2,28,1,-1,5,4,21,16
2,42,1,51,1,-1,9,2,36,7
2,43,2,58,1,-1,3,1,4,2
1,38,2,54,1,-1,3,9,4,21
2,39,2,55,1,-1,12,9,48,21
2,39,2,53,1,-1,10,2,41,10
1,43,2,45,1,-1,10,5,42,17
2,44,1,72,1,-1,10,1,42,1
1,43,1,59,1,-1,10,2,40,8
1,38,1,51,1,-1,6,8,23,20
1,42,1,26,1,-1,12,8,47,20
1,43,1,67,1,-1,3,4,4,16
2,43,1,31,1,-1,5,5,22,17
1,46,2,52,1,-1,8,2,33,3
2,46,2,48,1,-1,9,2,36,6
2,44,1,39,1,-1,10,2,40,8
2,44,1,58,2,-1,8,4,33,16
1,40,1,46,1,-1,13,3,51,12
2,40,1,62,1,-1,10,2,41,10
1,40,1,65,1,-1,6,10,23,22
2,41,1,50,1,-1,9,2,36,10
1,39,1,44,1,-1,5,8,22,20
1,43,1,68,1,-1,3,5,4,17
1,39,4,31,1,-1,12,3,48,15
2,39,4,27,1,-1,12,3,48,15
1,41,2,49,1,-1,6,2,23,3
2,43,1,34,1,-1,10,1,42,1
2,39,2,61,3,6,10,3,42,11
2,37,2,48,1,-1,11,3,46,13
2,44,1,25,7,-1,10,2,42,10
2,39,1,63,1,-1,13,5,51,17
1,44,1,66,1,-1,13,3,51,12
1,39,1,41,1,-1,5,3,22,11
2,37,1,79,1,-1,5,10,22,22
1,44,1,50,1,-1,13,3,51,12
2,43,1,32,1,-1,10,2,40,8
1,39,1,55,1,-1,6,10,23,22
2,39,2,44,1,-1,8,5,32,17
1,40,2,23,1,-1,12,10,47,22
2,42,2,53,2,-1,5,1,22,1
2,42,2,32,1,-1,6,1,23,1
1,33,1,24,1,-1,3,7,4,19
1,33,1,23,1,-1,3,7,4,19
1,33,1,26,1,-1,3,7,4,19
1,33,1,20,1,-1,3,7,4,19
2,39,1,33,1,-1,9,5,38,17
1,39,1,35,1,-1,12,10,48,22
1,44,4,32,1,-1,4,2,13,4
1,40,2,50,1,-1,6,5,23,17
2,43,2,44,1,-1,6,5,23,17
2,43,1,50,1,-1,10,2,41,10
1,43,1,44,1,-1,6,1,23,1
2,39,1,63,1,-1,5,4,22,16
2,39,6,24,1,-1,5,5,22,17
2,39,1,24,1,-1,6,10,23,22
1,36,1,30,1,-1,3,7,4,19
2,39,1,24,1,-1,3,7,4,19
2,39,1,59,1,-1,11,3,45,14
1,39,1,36,1,-1,5,4,22,16
2,39,1,35,1,-1,8,5,32,17
2,39,2,34,1,-1,8,5,32,17
2,39,2,69,1,-1,8,5,32,17
2,39,2,36,1,-1,10,3,42,11
2,43,1,54,1,-1,5,4,21,16
2,42,1,43,1,-1,9,2,38,10
1,40,1,44,1,-1,6,9,24,21
1,38,1,17,1,-1,11,3,46,13
1,43,1,64,4,31,4,9,6,21
1,43,1,44,1,-1,9,1,36,1
2,43,1,38,1,-1,3,1,4,1
1,44,1,51,1,-1,9,2,36,7
1,40,1,24,4,11,6,10,23,22
2,40,1,22,1,-1,10,1,40,2
2,39,1,70,1,-1,10,2,40,8
1,43,1,19,1,-1,11,3,46,13
2,43,1,58,1,-1,10,2,41,10
1,39,1,76,1,-1,4,1,14,1
2,43,1,44,1,-1,10,2,42,3
1,43,1,44,1,-1,4,1,11,2
1,39,1,33,7,-1,5,10,22,22
2,41,1,33,1,-1,10,2,40,8
2,43,1,34,1,-1,5,4,22,16
1,42,1,34,1,-1,9,2,36,5
2,39,1,26,1,-1,5,4,22,16
1,39,1,26,1,-1,6,7,24,19
1,39,2,38,1,-1,9,3,38,14
1,42,1,65,1,-1,8,4,34,16
1,41,1,51,1,-1,6,5,23,17
2,43,1,33,1,-1,12,5,49,17
1,42,1,45,1,-1,4,9,10,21
2,44,1,39,1,-1,10,2,41,10
1,44,1,41,1,-1,9,9,36,21
1,43,1,40,1,-1,8,4,34,16
1,42,1,47,1,-1,10,2,42,10
2,39,1,46,1,-1,10,5,42,17
2,44,1,34,1,-1,9,1,38,2
1,37,1,41,1,-1,12,7,47,19
2,42,1,68,1,-1,3,4,4,16
1,39,1,46,1,-1,9,2,36,3
1,39,2,66,1,-1,9,3,38,14
2,42,1,59,1,-1,6,8,23,20
2,44,2,40,1,-1,8,1,32,1
1,38,2,62,1,-1,11,3,46,13
1,39,1,70,1,-1,6,1,24,1
2,39,1,59,1,-1,10,3,43,15
1,43,1,53,1,-1,8,1,34,1
2,43,1,33,1,-1,8,1,34,1
1,39,1,22,1,-1,5,5,22,17
2,39,1,56,1,-1,10,3,40,12
2,43,1,30,1,-1,10,3,40,12
2,39,1,32,1,-1,11,3,46,13
1,39,1,25,1,-1,6,10,23,22
2,39,1,63,1,-1,5,4,22,16
2,41,1,36,1,-1,10,3,42,11
2,43,1,63,1,-1,5,5,22,17
2,39,1,68,1,-1,10,3,42,11
1,35,1,66,1,-1,3,7,4,19
1,39,1,36,1,-1,5,10,21,22
1,42,1,69,1,-1,11,1,46,1
2,43,1,33,1,-1,13,1,51,2
