pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1,gtcbsa
2,43,1,40,1,-1,10,2,40,8,12060
2,44,1,58,1,-1,10,1,40,2,12060
1,46,1,61,1,-1,10,2,40,8,12060
1,43,1,22,1,-1,10,1,40,1,12060
1,43,1,45,1,-1,6,2,24,3,12060
2,38,1,44,1,-1,13,4,51,16,12060
1,37,1,16,1,-1,11,10,44,22,12060
2,44,1,47,1,-1,10,2,40,8,12060
1,45,1,45,1,-1,10,1,40,1,12060
1,42,1,36,1,-1,3,7,4,19,12060
2,43,1,54,1,-1,9,1,38,2,12060
1,39,1,57,1,-1,5,4,22,16,12060
2,43,2,58,1,-1,5,4,22,16,12060
1,43,2,59,1,-1,12,1,47,1,12060
1,43,1,65,1,-1,8,4,34,16,12060
1,43,1,64,1,-1,10,3,41,13,12060
1,37,1,33,1,-1,11,3,46,13,12060
1,39,2,54,1,-1,5,4,22,16,12060
2,44,2,51,1,-1,10,2,41,10,12060
2,42,2,53,1,-1,10,3,43,15,12060
1,43,1,65,1,-1,8,4,32,16,12060
2,43,1,56,1,-1,11,3,46,13,12060
1,39,1,63,1,-1,5,8,21,20,12060
2,41,1,60,1,-1,4,1,16,2,12060
1,40,1,40,1,-1,4,10,13,22,12060
2,39,1,42,1,-1,11,3,46,13,12060
1,40,1,19,4,4,11,3,46,13,12060
2,40,1,31,1,-1,4,1,16,2,12060
1,41,1,61,1,-1,4,9,17,21,0
2,41,1,58,1,-1,5,4,22,16,0
2,40,1,21,1,-1,9,2,36,5,0
2,39,1,34,1,-1,4,5,14,17,12260
1,39,1,32,1,-1,5,3,22,13,12260
2,42,1,44,1,-1,10,2,40,8,0
1,41,1,39,1,-1,7,4,30,16,12060
2,39,1,41,1,-1,6,10,23,22,17980
2,39,1,19,1,-1,5,3,22,13,17980
2,39,2,37,1,-1,10,3,42,11,17980
2,43,1,60,1,-1,8,4,33,16,12060
1,44,1,45,1,-1,10,1,40,1,12060
2,44,1,42,1,-1,10,2,40,8,12060
1,39,1,31,1,-1,4,8,6,20,12060
2,40,1,59,1,-1,10,3,42,11,12060
1,43,2,55,1,-1,9,2,36,8,12060
1,41,1,41,1,-1,13,3,51,12,12260
2,39,2,56,1,-1,13,3,51,13,12260
2,39,2,22,4,7,4,9,14,21,12260
2,43,1,24,1,-1,5,2,22,9,12260
2,39,1,62,1,-1,8,5,34,17,12060
1,38,2,35,1,-1,4,9,10,21,0
1,41,1,58,1,-1,4,10,16,22,12020
1,43,1,47,1,-1,4,1,9,2,14540
2,44,1,41,1,-1,10,2,40,8,14540
