peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
44,1,38,1,-1,5,4,22,16
43,1,38,1,-1,5,4,22,16
40,1,59,1,-1,10,2,40,8
39,1,62,7,-1,5,4,22,16
39,1,22,1,-1,3,7,4,19
40,1,48,1,-1,5,5,22,17
40,1,71,1,-1,10,2,43,6
45,1,66,1,-1,10,2,42,10
42,2,60,1,-1,13,5,51,17
39,2,19,1,-1,5,4,22,16
38,2,45,1,-1,5,4,22,16
37,2,17,1,-1,11,4,46,16
44,1,53,1,-1,10,2,40,10
39,1,55,1,-1,10,5,40,17
43,1,71,1,-1,8,5,33,17
43,1,45,1,-1,10,2,40,8
43,1,32,1,-1,8,1,33,2
43,1,31,1,-1,3,2,4,4
35,2,43,1,-1,11,3,46,13
41,2,37,1,-1,5,9,22,21
39,2,19,1,-1,5,9,22,21
44,2,35,1,-1,11,3,45,13
41,2,48,1,-1,9,5,36,17
38,2,20,1,-1,6,9,23,21
38,2,28,1,-1,8,5,33,17
39,6,20,1,-1,11,4,46,16
37,2,17,1,-1,11,4,46,16
43,4,31,1,-1,4,2,10,4
43,1,26,1,-1,10,2,41,10
39,1,22,7,-1,10,3,43,15
43,1,33,1,-1,8,2,33,3
43,2,51,1,-1,6,1,23,1
40,2,55,1,-1,10,1,40,1
43,1,52,1,-1,9,2,36,3
42,1,52,1,-1,6,10,23,22
39,1,19,1,-1,12,3,48,15
40,1,58,1,-1,4,1,13,1
43,1,55,1,-1,6,10,23,22
39,1,29,1,-1,11,1,46,1
38,1,22,1,-1,3,1,4,1
39,1,55,1,-1,6,5,23,17
40,1,52,1,-1,10,1,42,1
41,1,42,1,-1,10,1,42,1
39,2,39,1,-1,6,10,23,22
39,1,61,1,-1,3,1,4,1
44,1,61,1,-1,4,1,10,2
43,2,60,1,-1,9,1,36,2
43,6,60,1,-1,10,5,40,17
39,1,28,1,-1,9,3,38,14
37,1,18,1,-1,11,3,46,13
43,1,54,1,-1,9,2,36,3
39,1,65,1,-1,6,1,23,2
43,1,33,1,-1,11,3,46,13
43,1,33,1,-1,9,1,36,2
39,1,22,1,-1,3,8,4,20
41,1,22,1,-1,12,3,48,15
41,2,52,1,-1,10,2,41,10
40,2,34,1,-1,4,3,13,14
39,2,44,1,-1,6,10,23,22
31,1,52,1,-1,12,3,50,11
34,1,15,7,-1,11,9,46,21
31,1,35,1,-1,9,3,38,14
36,1,16,1,-1,11,3,46,13
38,1,16,1,-1,10,3,43,15
44,1,58,1,-1,9,1,36,1
44,1,34,1,-1,9,1,36,1
44,4,34,1,-1,9,1,36,2
39,4,58,2,-1,4,9,7,21
31,4,66,1,-1,4,9,8,21
39,4,29,1,-1,3,5,4,17
43,2,51,1,-1,9,1,36,1
43,2,41,1,-1,8,1,33,2
44,1,56,1,-1,10,2,42,6
40,1,24,1,-1,1,6,1,18
43,1,34,1,-1,13,3,51,12
40,1,33,1,-1,5,3,22,15
44,1,46,1,-1,10,3,41,11
43,1,37,1,-1,8,4,34,16
42,2,60,1,-1,12,5,47,17
39,1,40,1,-1,9,3,38,14
39,1,44,1,-1,3,7,4,19
40,4,38,1,-1,12,3,48,15
35,4,38,1,-1,12,3,48,15
43,4,66,1,-1,12,1,47,1
41,2,44,1,-1,6,10,23,22
42,4,42,1,-1,6,5,23,17
37,4,48,1,-1,4,9,12,21
39,4,38,1,-1,12,3,48,15
39,1,46,1,-1,11,3,45,13
39,2,38,1,-1,5,1,22,1
42,4,59,1,-1,7,2,25,3
43,4,55,1,-1,10,2,41,10
40,1,54,1,-1,5,4,22,16
42,2,52,1,-1,10,3,43,15
39,2,39,3,52,5,5,22,17
43,1,57,1,-1,3,1,4,1
43,4,36,1,-1,5,5,22,17
44,4,37,1,-1,6,10,23,22
44,2,52,1,-1,12,2,48,9
39,2,48,2,-1,6,5,23,17
39,2,21,1,-1,9,10,38,22
40,1,25,1,-1,6,8,23,20
43,2,35,1,-1,9,3,38,14
43,2,56,1,-1,5,4,22,16
43,2,48,1,-1,13,2,51,8
39,1,30,1,-1,4,9,7,21
40,1,23,1,-1,9,2,36,3
40,1,26,1,-1,10,3,40,14
39,1,24,1,-1,3,7,4,19
43,1,62,1,-1,13,1,51,1
42,1,62,1,-1,4,5,11,17
36,1,30,1,-1,4,10,11,22
43,1,43,1,-1,10,2,41,10
39,1,44,1,-1,5,2,21,8
39,1,30,1,-1,4,1,14,1
41,1,63,1,-1,10,5,42,17
40,1,32,1,-1,5,4,22,16
41,1,50,1,-1,13,3,51,12
35,1,17,1,-1,11,3,46,13
39,1,24,1,-1,4,9,11,21
39,1,44,1,-1,4,9,11,21
39,1,19,1,-1,11,3,46,13
39,1,50,1,-1,4,7,17,19
42,2,66,1,-1,9,3,38,14
42,2,61,1,-1,10,1,42,1
42,1,45,1,-1,3,7,4,19
42,1,28,1,-1,10,5,42,17
38,1,26,4,26,11,4,46,16
39,1,36,1,-1,7,8,29,20
39,1,33,1,-1,10,5,42,17
39,1,59,1,-1,10,3,40,14
39,1,37,1,-1,5,4,22,16
42,2,35,1,-1,3,2,4,3
37,1,26,1,-1,5,4,22,16
43,1,64,1,-1,10,2,40,8
41,1,27,1,-1,6,7,24,19
44,1,28,1,-1,10,2,42,10
39,2,38,1,-1,10,3,41,11
39,2,22,1,-1,4,9,10,21
43,1,37,1,-1,10,2,40,8
39,1,30,1,-1,4,9,10,21
38,1,58,1,-1,4,9,6,21
39,1,58,1,-1,4,9,12,21
41,1,57,1,-1,4,8,10,20
39,1,60,1,-1,4,10,12,22
39,1,52,1,-1,4,9,20,21
43,2,46,1,-1,11,2,44,3
42,1,46,1,-1,10,2,40,8
39,1,47,1,-1,4,9,14,21
40,1,22,1,-1,10,3,42,11
44,1,71,1,-1,11,2,44,9
39,1,71,2,-1,5,4,22,16
44,1,39,1,-1,11,4,44,16
44,1,71,2,-1,3,7,4,19
31,1,63,1,-1,1,6,1,18
39,1,57,1,-1,5,8,22,20
35,1,15,1,-1,11,3,46,13
40,1,76,1,-1,9,5,36,17
37,1,17,1,-1,5,4,22,16
41,1,54,1,-1,6,10,23,22
43,2,32,1,-1,10,1,40,1
