pesex,peeduca,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,39,41,1,-1,6,10,23,22
2,39,38,1,-1,12,3,48,15
1,39,31,1,-1,3,8,4,20
1,41,66,1,-1,11,2,44,4
2,42,63,1,-1,10,2,41,10
1,39,62,1,-1,11,10,44,22
2,39,62,1,-1,6,4,24,16
1,42,54,1,-1,5,4,21,16
2,43,33,1,-1,10,2,42,10
1,42,37,1,-1,9,2,36,4
1,39,53,1,-1,5,1,21,2
2,43,53,1,-1,12,2,49,6
2,40,52,1,-1,7,2,26,9
1,40,57,1,-1,11,2,44,9
2,45,41,1,-1,10,2,42,10
1,41,55,1,-1,10,3,42,14
1,39,30,1,-1,11,3,46,13
2,39,26,1,-1,10,3,43,11
2,40,48,1,-1,10,5,42,17
1,39,48,1,-1,3,7,4,19
1,42,41,1,-1,9,3,38,14
1,43,60,1,-1,13,1,51,1
2,43,47,1,-1,6,10,23,22
2,44,54,1,-1,10,2,41,10
1,40,58,1,-1,10,2,41,10
2,41,26,1,-1,10,2,41,10
1,44,45,1,-1,10,2,42,10
1,43,62,1,-1,13,3,51,12
2,39,21,1,-1,13,1,51,2
2,41,26,1,-1,10,2,42,10
1,39,50,1,-1,3,7,4,19
2,43,48,1,-1,10,2,42,10
1,44,41,1,-1,10,2,42,10
2,43,32,1,-1,4,2,13,9
1,43,62,1,-1,10,2,41,10
2,43,54,1,-1,10,2,41,10
1,39,61,1,-1,6,10,23,22
2,40,58,1,-1,3,7,4,19
2,39,19,1,-1,10,3,42,15
2,34,41,1,-1,12,3,50,14
1,39,32,1,-1,3,7,4,19
1,43,40,1,-1,6,8,23,20
2,43,39,1,-1,10,2,40,8
1,44,44,1,-1,9,2,36,3
2,37,41,1,-1,5,4,22,16
1,40,18,1,-1,5,10,22,22
1,44,32,1,-1,9,2,36,3
2,43,57,1,-1,10,2,40,8
1,39,26,1,-1,5,4,22,16
2,39,29,1,-1,11,4,46,16
1,39,45,1,-1,5,1,21,2
2,39,45,1,-1,5,5,21,17
2,45,47,1,-1,9,2,36,7
1,43,46,1,-1,8,1,32,2
2,41,37,1,-1,10,2,41,10
1,39,37,1,-1,3,7,4,19
1,35,68,1,-1,9,3,38,12
2,39,38,1,-1,10,2,40,8
1,41,52,1,-1,4,9,6,21
